# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1      0      0      0      0      0      0  10501   2520      0      0 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745   1317    113 
    1    100    100      0      0      0      0  10501   1833     46     10 
    1    100     61      0      0      0      0  10501   2490      9      2 
    1    100     60      0      0      0      0  10501   2490      8      2 
    1    100     60      0      0      0      0  10501   2505     10      2 
    1    100     62      0      0      0      0  10501   1683      8      2 
    1    100     60      0      0      0      0  10501   2505      9      2 
    1    100     60      0      0      0      0  10501   2490      9      2 
    1    100     60      0      0      0      0  10501   2475      8      2 
    1    100     60      0      0      0      0  10501   2490      8      2 
    1    100     61      0      0      0      0  10501   2505      9      2 
    1    100     62      0      0      0      0  10501   2490     10      2 
    1    100     61      0      0      0      0  10501   2490      8      2 
    1    100     60      0      0      0      0  10501   2505      9      2 
    1    100     61      0      0      0      0  10501   2505      8      2 
    1    100     61      0      0      0      0  10501   2490      8      2 
    1    100     61      0      0      0      0  10501   2505      9      2 
    1    100     60      0      0      0      0  10501   1663     10      2 
    1    100     60      0      0      0      0  10501   2490      8      2 
    1    100     60      0      0      0      0  10501   2475      8     10 
    1    100     60      0      0      0      0  10501   2505     11      2 
    1    100     61      0      0      0      0  10501   2475      9      2 
    1    100     60      0      0      0      0  10501   2490      8      2 
    1    100     62      0      0      0      0  10501   2490     10      2 
    1    100     60      0      0      0      0  10501   2490      8      2 
    1    100     60      0      0      0      0  10501   2475      8      2 
    1    100     59      0      0      0      0  10501   1653      9      2 
    1    100     61      0      0      0      0  10501   2505      9      2 
