# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1      0      0      0      0      0      0  10501   2520      0      0 
    1     82     93      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      0 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1      1 
    1    100    100      0      0      0      0  10501   2745      1    778 
    1    100    100      0      0      0      0  10501   2745      7      2 
    1    100     60      0      0      0      0  10501   2490      9      2 
    1    100     58      0      0      0      0  10501   2445      6      2 
    1    100     59      0      0      0      0  10501   2460      8      2 
    1    100     60      0      0      0      0  10501   2460      7      2 
    1    100     60      0      0      0      0  10501   1633      8      2 
    1    100     60      0      0      0      0  10501   2475      7      2 
    1    100     64      0      0      0      0  10501   2445      7      2 
    1    100     59      0      0      0      0  10501   2460      7      2 
    1    100     60      0      0      0      0  10501   2550      7      2 
    1    100     61      0      0      0      0  10501   2475      7      2 
    1    100     60      0      0      0      0  10501   2520      7      2 
    1    100     60      0      0      0      0  10501   2460      7      2 
    1    100     61      0      0      0      0  10501   2475      7      2 
    1    100     61      0      0      0      0  10501   2475      7      2 
    1    100     59      0      0      0      0  10501   1633      7      2 
    1    100     60      0      0      0      0  10501   1683      7      2 
    1    100     59      0      0      0      0  10501   2460      9      2 
    1    100     61      0      0      0      0  10501   1643      7      2 
    1    100     59      0      0      0      0  10501   2460      9      2 
    1    100     59      0      0      0      0  10501   2445      6      2 
    1    100     60      0      0      0      0  10501   2430      9      2 
